Symbol,Last,ChgPct,Volume,Session,SessionDate,Direction,Name
UPST,33.7,11.15,1450583,post,2026-08-04,up,Upstart Holdings Inc
USAS,4.7,7.06,125955,pre,2026-08-05,up,Americas Gold and Silver Corp
VPG,73,-27.72,106955,pre,2026-08-05,down,Vishay Precision Group
VSH,37.1,-4.5,579419,pre,2026-08-05,down,Vishay Intertechnology
WYNN,102.5,5.02,253950,post,2026-08-04,up,Wynn Resorts Ltd
XOS,2.95,12.24,316990,pre,2026-08-05,up,Xos Inc
XOS,2.82,7.22,130822,post,2026-08-04,up,Xos Inc
YXT,4.16,60,4879580,pre,2026-08-05,up,Yxt.com Group ADR
ZETA,23.03,-5.07,3334428,post,2026-08-04,down,Zeta Global Holdings Corp Cl A
ZJYL,2.09,7.73,5917676,pre,2026-08-05,up,Jin Medical International Ltd
ZJYL,3.1701,63.41,5763299,post,2026-08-04,up,Jin Medical International Ltd
VRTX,470.29,-0.09,1450928,headline,2026-08-04,down,Vertex Pharmaceuticals Incorporated
WMB,71.25,1.16,7450032,headline,2026-08-04,up,"The Williams Companies, Inc."
OKE,88.38,0.16,3583726,headline,2026-08-04,up,"ONEOK, Inc."
FANG,196.5,-1.13,2159662,headline,2026-08-04,down,"Diamondback Energy, Inc."
TKO,187.12,1.75,1808621,headline,2026-08-04,up,"TKO Group Holdings, Inc."
EC,16.68,0.46,2372165,headline,2026-08-04,up,Ecopetrol S.A.
SBAC,179.54,0.0,1600088,headline,2026-08-04,up,SBA Communications Corporation
STRL,584.94,-4.34,1212490,headline,2026-08-04,down,"Sterling Infrastructure, Inc."
VNOM,43.69,0.0,1597363,headline,2026-08-04,up,"Viper Energy, Inc."
JAZZ,256.5,1.96,1333109,headline,2026-08-04,up,Jazz Pharmaceuticals plc
BWXT,169.89,-2.24,972823,headline,2026-08-04,down,"BWX Technologies, Inc."
CLX,98.63,0.37,3259821,headline,2026-08-04,up,The Clorox Company
AEIS,326.0,9.99,1117274,headline,2026-08-04,up,"Advanced Energy Industries, Inc."
CMI,602.0,-7.22,974323,headline,2026-08-04,down,Cummins Inc.
GWW,1300.0,-5.2,281842,headline,2026-08-04,down,"W.W. Grainger, Inc."
AME,257.0,5.43,1341766,headline,2026-08-04,up,"AMETEK, Inc."
ROK,459.86,-4.39,1429497,headline,2026-08-04,down,"Rockwell Automation, Inc."
IDXX,591.0,4.08,1207199,headline,2026-08-04,up,"IDEXX Laboratories, Inc."
ADM,80.52,3.15,3185269,headline,2026-08-04,up,Archer-Daniels-Midland Company
TDG,1325.0,3.07,625882,headline,2026-08-04,up,Transdigm Group Incorporated
Q,143.0,7.28,2635921,headline,2026-08-04,up,"Qnity Electronics, Inc."
FIS,41.73,-6.81,7766181,headline,2026-08-04,down,Fidelity National Information S
DD,134.0,-5.15,1449416,headline,2026-08-04,down,"DuPont de Nemours, Inc."
ENTG,134.67,7.56,2992467,headline,2026-08-04,up,"Entegris, Inc."
ZBRA,320.66,9.95,1299982,headline,2026-08-04,up,Zebra Technologies Corporation
LDOS,125.0,5.29,1836446,headline,2026-08-04,up,"Leidos Holdings, Inc."
RVTY,111.0,-3.66,2063718,headline,2026-08-04,down,"Revvity, Inc."
AMAT,545.0,5.17,5952350,headline,2026-08-04,up,"Applied Materials, Inc."
ASML,1690.45,2.92,1417903,headline,2026-08-04,up,ASML Holding N.V. - New York Re
DELL,445.24,3.78,4051621,headline,2026-08-04,up,Dell Technologies Inc.
AMZN,277.4,-2.33,86041006,headline,2026-08-04,down,"Amazon.com, Inc."
MRK,128.9,0.88,10823736,headline,2026-08-04,up,"Merck & Company, Inc."
PFE,25.0,-0.12,40352356,headline,2026-08-04,down,"Pfizer, Inc."
BMY,65.38,0.11,24636623,headline,2026-08-04,up,Bristol-Myers Squibb Company
APTV,53.25,-6.95,0,headline,2026-08-04,down,Aptiv PLC
ENLT,89.73,8.5,0,headline,2026-08-04,up,Enlight Renewable Energy Ltd.
IT,163.44,7.86,0,headline,2026-08-04,up,"Gartner, Inc."
CCEP,105.52,-2.47,0,headline,2026-08-04,down,Coca-Cola Europacific Partners plc
PNW,98.3,-2.49,0,headline,2026-08-04,down,Pinnacle West Capital Corporation
BNTX,89.98,-2.47,0,headline,2026-08-04,down,BioNTech SE
LSCC,136.0,6.94,0,headline,2026-08-04,up,Lattice Semiconductor Corporation
W,104.6,17.57,0,headline,2026-08-04,up,Wayfair Inc.
ET,21.4,3.99,0,headline,2026-08-04,up,Energy Transfer L.P.
BR,161.45,2.59,0,headline,2026-08-04,up,"Broadridge Financial Solutions, Inc."
TPG,47.5,2.56,0,headline,2026-08-04,up,TPG Inc.
MCD,265.23,-2.00,5993376,headline,2026-08-04,down,McDonald's Corporation
BP,44.26,-2.12,10669397,headline,2026-08-04,down,BP p.l.c.
DUK,124.28,-0.92,3767713,headline,2026-08-04,down,Duke Energy Corporation (Holdin
MPC,307.03,-2.98,2102033,headline,2026-08-04,down,Marathon Petroleum Corporation
APO,129.42,3.05,3676353,headline,2026-08-04,up,"Apollo Global Management, Inc. "
MPLX,58.91,0.79,1386386,headline,2026-08-04,up,MPLX LP
SYY,84.98,-0.31,8733152,headline,2026-08-04,down,Sysco Corporation
PEG,76.62,-0.08,3593545,headline,2026-08-04,down,Public Service Enterprise Group
WAT,374.74,-0.68,980958,headline,2026-08-04,down,Waters Corporation
KMB,107.56,-1.60,7486466,headline,2026-08-04,down,Kimberly-Clark Corporation
NRG,138.47,3.11,2515759,headline,2026-08-04,up,"NRG Energy, Inc."
TSEM,234.32,6.67,3494136,headline,2026-08-04,up,Tower Semiconductor Ltd.
EXPD,170.59,1.61,2221293,headline,2026-08-04,up,Expeditors International of Was
ULS,91.05,-0.64,877050,headline,2026-08-04,down,UL Solutions Inc.
BALL,65.15,0.39,2195833,headline,2026-08-04,up,Ball Corporation
KIM,25.41,-0.27,4146762,headline,2026-08-04,down,Kimco Realty Corporation (HC)
LLY,1170.09,4.88,4083900,headline,2026-08-05,up,Eli Lilly and Company
AMGN,393.09,0.79,3620900,headline,2026-08-05,up,Amgen Inc.
DIS,102.79,4.7,16764000,headline,2026-08-05,up,Walt Disney Company (The)
GILD,134.94,-0.23,10088300,headline,2026-08-05,down,Gilead Sciences  Inc.
CVS,107.59,3.04,7224000,headline,2026-08-05,up,CVS Health Corporation
EMR,154.59,-2.68,5331500,headline,2026-08-05,down,Emerson Electric Company
SU,65.6,1.78,5928700,headline,2026-08-05,up,Suncor Energy  Inc.
BAM,51.0,-1.81,4747000,headline,2026-08-05,down,Brookfield Asset Management
EOG,143.34,-0.13,2978300,headline,2026-08-05,down,EOG Resources  Inc.
COR,316.51,3.34,2454300,headline,2026-08-05,up,Cencora  Inc.
ALAB,365.78,1.14,10015600,headline,2026-08-05,up,Astera Labs  Inc.
DVN,44.55,1.14,9797000,headline,2026-08-05,up,Devon Energy Corporation
TRI,111.11,1.8,6031900,headline,2026-08-05,up,Thomson Reuters Corp
PRU,124.04,0.4,2035500,headline,2026-08-05,up,Prudential Financial  Inc.
IRM,126.0,0.39,2511100,headline,2026-08-05,up,Iron Mountain Incorporated
UTHR,494.0,-4.76,522100,headline,2026-08-05,down,United Therapeutics Corporation
NI,44.34,-0.43,6885400,headline,2026-08-05,down,NiSource  Inc
IFF,80.89,0.0,1811400,headline,2026-08-05,up,International Flavors & Fragrances
RBA,112.39,1.2,2287400,headline,2026-08-05,up,RB Global  Inc.
TOST,33.3,-1.51,16881200,headline,2026-08-05,down,Toast  Inc.
ZBH,99.5,3.85,3547200,headline,2026-08-05,up,Zimmer Biomet Holdings  Inc.
CG,51.5,1.7,6091200,headline,2026-08-05,up,The Carlyle Group Inc.
J,139.25,-2.4,1362800,headline,2026-08-05,down,Jacobs Solutions Inc.
LTM,55.6,-0.11,820000,headline,2026-08-05,down,LATAM Airlines Group S.A.
DOC,21.88,1.2,7445500,headline,2026-08-05,up,Healthpeak Properties  Inc.
CRBG,31.21,-1.23,5622600,headline,2026-08-05,down,Corebridge Financial Inc.
AIZ,282.1,0.28,425500,headline,2026-08-05,up,Assurant  Inc.
EQH,48.25,0.0,3823100,headline,2026-08-05,up,Equitable Holdings  Inc.
BWA,66.0,4.7,3544200,headline,2026-08-05,up,BorgWarner Inc.
DT,51.0,11.57,5727900,headline,2026-08-05,up,Dynatrace  Inc.
AFG,141.55,0.68,453100,headline,2026-08-05,up,American Financial Group  Inc.
OC,145.6,0.05,1318000,headline,2026-08-05,up,Owens Corning Inc
VSAT,76.69,-10.99,3914400,headline,2026-08-05,down,ViaSat  Inc.
WTRG,40.08,1.31,3087500,headline,2026-08-05,up,Essential Utilities  Inc.
CSCO,124.86,2.56,26624200,headline,2026-08-05,up,Cisco Systems Inc.
VZ,45.67,-2.58,23529200,headline,2026-08-05,down,Verizon Communications Inc.
T,22.9,-2.04,55612700,headline,2026-08-05,down,AT&T Inc.
TMUS,174.33,-1.63,5782200,headline,2026-08-05,down,T-Mobile US Inc.
INTC,98.24,-2.6,123236500,headline,2026-08-05,down,Intel Corporation
TM,184.99,-2.21,539200,headline,2026-08-05,down,Toyota Motor Corporation
NVDA,216.39,2.1,133610200,headline,2026-08-05,up,NVIDIA Corporation
NVO,45.17,2.01,47360500,headline,2026-08-05,up,Novo Nordisk A/S
SHOP,157.5,27.74,21391400,headline,2026-08-05,up,Shopify Inc.
UBER,69.93,-2.87,19866400,headline,2026-08-05,down,Uber Technologies  Inc.
PSX,211.5,2.72,3489300,headline,2026-08-05,up,Phillips 66
MDLN,41.0,-2.47,7725500,headline,2026-08-05,down,Medline Inc.
ONC,338.5,4.8,385300,headline,2026-08-05,up,BeOne Medicines Ltd.
RPRX,58.55,1.86,3684200,headline,2026-08-05,up,Royalty Pharma plc
KHC,26.52,-0.45,16247900,headline,2026-08-05,down,The Kraft Heinz Company
GFS,49.86,-4.15,6869800,headline,2026-08-05,down,GlobalFoundries Inc.
GPN,84.21,-4.58,4024900,headline,2026-08-05,down,Global Payments Inc.
SN,169.93,1.03,3445200,headline,2026-08-05,up,SharkNinja  Inc.
CDW,141.59,-8.06,2931900,headline,2026-08-05,down,CDW Corporation
FLUT,100.36,-4.38,3788700,headline,2026-08-05,down,Flutter Entertainment plc
RRX,204.32,-7.14,1607900,headline,2026-08-05,down,Regal Rexnord Corporation
NYT,73.27,-3.1,3242500,headline,2026-08-05,down,New York Times Company (The)
ARWR,89.94,0.39,2031100,headline,2026-08-05,up,Arrowhead Pharmaceuticals  Inc.
PODD,146.0,-12.48,1749000,headline,2026-08-05,down,Insulet Corporation
CRL,234.12,0.0,1146500,headline,2026-08-05,up,Charles River Laboratories Interna
PANW,378.58,3.34,0,headline,2026-08-05,up,"Palo Alto Networks, Inc."
